event_id,_time,host,user,task_name,task_command,schedule,action,source_process,source_process_id,classification,note
TASK-00893,2026-08-04T14:23:26Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,9739,benign,approved scheduled task
TASK-01367,2026-08-04T14:31:24Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,registered,taskeng.exe,9175,benign,approved scheduled task
TASK-00284,2026-08-04T14:35:02Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,3355,benign,approved scheduled task
TASK-00023,2026-08-04T14:38:34Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,run,taskeng.exe,9859,benign,approved scheduled task
TASK-01405,2026-08-04T14:42:32Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,2482,benign,approved scheduled task
TASK-01116,2026-08-04T14:44:00Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,6087,benign,approved scheduled task
TASK-00192,2026-08-04T14:44:05Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,registered,taskeng.exe,14108,benign,approved scheduled task
TASK-00205,2026-08-04T14:53:05Z,FILE-01,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,11020,benign,approved scheduled task
TASK-01235,2026-08-04T14:58:23Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,9624,benign,approved scheduled task
TASK-01302,2026-08-04T15:00:54Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,run,taskeng.exe,8148,benign,approved scheduled task
TASK-01321,2026-08-04T15:01:15Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,14316,benign,approved scheduled task
TASK-01397,2026-08-04T15:05:16Z,APP-API-02,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,2331,benign,approved scheduled task
TASK-01101,2026-08-04T15:08:16Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,10567,benign,approved scheduled task
TASK-01307,2026-08-04T15:20:21Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,registered,taskeng.exe,6345,benign,approved scheduled task
TASK-INC-001,2026-08-04T15:20:22Z,ADMIN-WS-07,ACME\admin.jlee,TelemetryCacheSync,"rundll32.exe C:\ProgramData\TelemetryCache\telemetry.dll,Start",hourly,create,powershell.exe,8570,malicious,Attacker persistence
TASK-00339,2026-08-04T15:22:13Z,APP-API-02,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,5118,benign,approved scheduled task
TASK-00742,2026-08-04T15:25:31Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,6329,benign,approved scheduled task
TASK-00511,2026-08-04T15:26:57Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,3563,benign,approved scheduled task
TASK-00996,2026-08-04T15:31:07Z,APP-API-02,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,run,taskeng.exe,14321,benign,approved scheduled task
TASK-00774,2026-08-04T15:38:27Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,9131,benign,approved scheduled task
TASK-00018,2026-08-04T15:41:07Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,2885,benign,approved scheduled task
TASK-00830,2026-08-04T15:42:21Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,14116,benign,approved scheduled task
TASK-00245,2026-08-04T16:05:08Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,14659,benign,approved scheduled task
TASK-01225,2026-08-04T16:11:54Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,8791,benign,approved scheduled task
TASK-01188,2026-08-04T16:16:43Z,FILE-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,5578,benign,approved scheduled task
TASK-01241,2026-08-04T16:20:32Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,5929,benign,approved scheduled task
TASK-00878,2026-08-04T16:30:15Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,6626,benign,approved scheduled task
TASK-00389,2026-08-04T16:41:08Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,registered,taskeng.exe,14932,benign,approved scheduled task
TASK-00581,2026-08-04T16:41:44Z,DEPLOY-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,run,taskeng.exe,11697,benign,approved scheduled task
TASK-00716,2026-08-04T16:42:26Z,FILE-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,2658,benign,approved scheduled task
TASK-00575,2026-08-04T16:56:02Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,registered,taskeng.exe,2842,benign,approved scheduled task
TASK-00505,2026-08-04T17:06:48Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,14031,benign,approved scheduled task
TASK-01345,2026-08-04T17:34:23Z,APP-API-02,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,4584,benign,approved scheduled task
TASK-00572,2026-08-04T17:37:37Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,run,taskeng.exe,5655,benign,approved scheduled task
TASK-01072,2026-08-04T17:40:05Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,6167,benign,approved scheduled task
TASK-00812,2026-08-04T17:42:25Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,3058,benign,approved scheduled task
TASK-00200,2026-08-04T17:45:50Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,4302,benign,approved scheduled task
TASK-00827,2026-08-04T17:47:34Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,13684,benign,approved scheduled task
TASK-00985,2026-08-04T17:53:35Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,10503,benign,approved scheduled task
TASK-00654,2026-08-04T18:00:19Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,6336,benign,approved scheduled task
TASK-00730,2026-08-04T18:11:56Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,10177,benign,approved scheduled task
TASK-00897,2026-08-04T18:20:06Z,DEPLOY-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,9326,benign,approved scheduled task
TASK-00310,2026-08-04T18:20:27Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,8324,benign,approved scheduled task
TASK-01474,2026-08-04T18:23:43Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,6972,benign,approved scheduled task
TASK-00778,2026-08-04T18:32:39Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,12015,benign,approved scheduled task
TASK-00280,2026-08-04T18:35:56Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,14166,benign,approved scheduled task
TASK-00144,2026-08-04T18:41:17Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,8574,benign,approved scheduled task
TASK-00293,2026-08-04T18:52:18Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,13618,benign,approved scheduled task
TASK-00567,2026-08-04T19:32:15Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,6623,benign,approved scheduled task
TASK-01237,2026-08-04T19:55:12Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,14177,benign,approved scheduled task
TASK-00250,2026-08-04T19:57:18Z,DEPLOY-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,2539,benign,approved scheduled task
TASK-01257,2026-08-04T19:58:24Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,run,taskeng.exe,10125,benign,approved scheduled task
TASK-00027,2026-08-04T19:59:06Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,10647,benign,approved scheduled task
TASK-00546,2026-08-04T20:02:27Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,run,taskeng.exe,1533,benign,approved scheduled task
TASK-00762,2026-08-04T20:03:00Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,run,taskeng.exe,1896,benign,approved scheduled task
TASK-01313,2026-08-04T20:06:10Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,4240,benign,approved scheduled task
TASK-00338,2026-08-04T20:08:33Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,14514,benign,approved scheduled task
TASK-00763,2026-08-04T20:29:41Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,registered,taskeng.exe,1431,benign,approved scheduled task
TASK-00276,2026-08-04T20:39:08Z,FILE-01,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,11264,benign,approved scheduled task
TASK-00327,2026-08-04T20:52:53Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,12643,benign,approved scheduled task
TASK-01289,2026-08-04T20:56:38Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,8365,benign,approved scheduled task
TASK-00510,2026-08-04T21:03:01Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,run,taskeng.exe,7691,benign,approved scheduled task
TASK-00057,2026-08-04T21:08:46Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,14795,benign,approved scheduled task
TASK-01161,2026-08-04T21:34:11Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,5876,benign,approved scheduled task
TASK-01396,2026-08-04T21:42:22Z,FILE-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,14770,benign,approved scheduled task
TASK-00892,2026-08-04T21:43:37Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,12963,benign,approved scheduled task
TASK-00894,2026-08-04T21:45:56Z,FILE-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,run,taskeng.exe,8827,benign,approved scheduled task
TASK-00764,2026-08-04T21:52:34Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,12361,benign,approved scheduled task
TASK-00790,2026-08-04T21:53:36Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,registered,taskeng.exe,14321,benign,approved scheduled task
TASK-01069,2026-08-04T21:58:54Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,2694,benign,approved scheduled task
TASK-00376,2026-08-04T22:15:50Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,12718,benign,approved scheduled task
TASK-01370,2026-08-04T22:18:27Z,FILE-01,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,run,taskeng.exe,14095,benign,approved scheduled task
TASK-01120,2026-08-04T22:20:34Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,5732,benign,approved scheduled task
TASK-01051,2026-08-04T22:31:02Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,14469,benign,approved scheduled task
TASK-00438,2026-08-04T22:43:50Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,4716,benign,approved scheduled task
TASK-01306,2026-08-04T22:43:52Z,DEPLOY-01,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,run,taskeng.exe,6260,benign,approved scheduled task
TASK-00771,2026-08-04T22:51:17Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,6569,benign,approved scheduled task
TASK-00244,2026-08-04T23:02:18Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,5268,benign,approved scheduled task
TASK-01362,2026-08-04T23:04:49Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,10499,benign,approved scheduled task
TASK-01191,2026-08-04T23:10:13Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,11918,benign,approved scheduled task
TASK-00357,2026-08-04T23:15:25Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,registered,taskeng.exe,9404,benign,approved scheduled task
TASK-00911,2026-08-04T23:21:30Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,10473,benign,approved scheduled task
TASK-00274,2026-08-04T23:22:30Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,run,taskeng.exe,5646,benign,approved scheduled task
TASK-01008,2026-08-04T23:30:15Z,APP-API-02,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,registered,taskeng.exe,11958,benign,approved scheduled task
TASK-00559,2026-08-04T23:30:41Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,registered,taskeng.exe,10484,benign,approved scheduled task
TASK-01233,2026-08-04T23:32:00Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,13142,benign,approved scheduled task
TASK-01404,2026-08-04T23:32:17Z,FILE-01,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,3019,benign,approved scheduled task
TASK-01406,2026-08-04T23:34:21Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,7512,benign,approved scheduled task
TASK-00699,2026-08-04T23:36:00Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,run,taskeng.exe,3759,benign,approved scheduled task
TASK-01153,2026-08-04T23:48:02Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,1948,benign,approved scheduled task
TASK-01180,2026-08-04T23:55:40Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,registered,taskeng.exe,7807,benign,approved scheduled task
TASK-00230,2026-08-04T23:57:45Z,APP-API-02,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,8431,benign,approved scheduled task
TASK-00536,2026-08-05T00:10:00Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,10298,benign,approved scheduled task
TASK-01192,2026-08-05T00:11:36Z,DEPLOY-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,run,taskeng.exe,11161,benign,approved scheduled task
TASK-00804,2026-08-05T00:18:05Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,1600,benign,approved scheduled task
TASK-01123,2026-08-05T00:18:09Z,FILE-01,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,registered,taskeng.exe,7963,benign,approved scheduled task
TASK-00554,2026-08-05T00:21:41Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,13831,benign,approved scheduled task
TASK-00639,2026-08-05T00:37:08Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,9564,benign,approved scheduled task
TASK-01413,2026-08-05T00:59:07Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,1754,benign,approved scheduled task
TASK-00412,2026-08-05T01:09:25Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,run,taskeng.exe,1810,benign,approved scheduled task
TASK-01267,2026-08-05T01:13:51Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,13035,benign,approved scheduled task
TASK-01365,2026-08-05T01:26:31Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,11463,benign,approved scheduled task
TASK-01264,2026-08-05T01:29:59Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,2769,benign,approved scheduled task
TASK-01164,2026-08-05T01:30:16Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,4489,benign,approved scheduled task
TASK-00064,2026-08-05T01:31:25Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,1630,benign,approved scheduled task
TASK-01145,2026-08-05T01:43:56Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,5897,benign,approved scheduled task
TASK-00786,2026-08-05T02:07:14Z,APP-API-02,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,9752,benign,approved scheduled task
TASK-01071,2026-08-05T02:08:30Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,5945,benign,approved scheduled task
TASK-01149,2026-08-05T02:10:03Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,run,taskeng.exe,9558,benign,approved scheduled task
TASK-01047,2026-08-05T02:28:20Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,1345,benign,approved scheduled task
TASK-01045,2026-08-05T02:46:49Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,registered,taskeng.exe,9831,benign,approved scheduled task
TASK-00153,2026-08-05T02:49:32Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,5048,benign,approved scheduled task
TASK-01113,2026-08-05T02:55:07Z,FILE-01,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,10258,benign,approved scheduled task
TASK-00765,2026-08-05T02:59:03Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,run,taskeng.exe,3120,benign,approved scheduled task
TASK-00871,2026-08-05T03:02:26Z,APP-API-02,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,run,taskeng.exe,10089,benign,approved scheduled task
TASK-00030,2026-08-05T03:08:45Z,APP-API-02,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,run,taskeng.exe,1555,benign,approved scheduled task
TASK-00472,2026-08-05T03:35:20Z,FILE-01,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,run,taskeng.exe,13534,benign,approved scheduled task
TASK-00636,2026-08-05T03:38:17Z,FILE-01,NT AUTHORITY\SYSTEM,BackupInventory,backup-agent.exe --inventory,daily,registered,taskeng.exe,5094,benign,approved scheduled task
TASK-00402,2026-08-05T03:47:11Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,1314,benign,approved scheduled task
TASK-01103,2026-08-05T03:48:36Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,registered,taskeng.exe,8719,benign,approved scheduled task
TASK-00768,2026-08-05T03:52:04Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,4857,benign,approved scheduled task
TASK-00164,2026-08-05T03:55:55Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,10747,benign,approved scheduled task
TASK-00862,2026-08-05T03:58:17Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupInventory,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,10161,benign,approved scheduled task
TASK-00545,2026-08-05T04:02:15Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,10228,benign,approved scheduled task
TASK-00068,2026-08-05T04:28:13Z,FILE-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,registered,taskeng.exe,1694,benign,approved scheduled task
TASK-00145,2026-08-05T05:15:32Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,1494,benign,approved scheduled task
