detection_id,_time,severity,title,host,user,process_name,reason,expected_decision,note
ATD-005-00344,2026-08-04T15:10:42Z,medium,PowerShell Review,DEPLOY-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00433,2026-08-04T15:15:45Z,low,Failed WinRM Review,WEB-EDGE-01,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-001,2026-08-04T15:17:12Z,medium,PowerShell Download from Legitimate Domain,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,User PowerShell initiated file transfer,investigate,Starting signal
ATD-005-002,2026-08-04T15:18:03Z,high,Credential Dumping with Signed Utility,ADMIN-WS-07,ACME\admin.jlee,procdump64.exe,Signed utility accessed LSASS,escalate,Confirms malicious intent
ATD-005-003,2026-08-04T15:20:22Z,high,New Scheduled Task from ProgramData DLL,ADMIN-WS-07,ACME\admin.jlee,schtasks.exe,Task launches unsigned DLL,escalate,Persistence
ATD-005-004,2026-08-04T15:21:14Z,high,Persistence-Launched Rare Domain Callback,ADMIN-WS-07,NT AUTHORITY\SYSTEM,rundll32.exe,Task payload contacted rare domain,escalate,Network confirmation
ATD-005-005,2026-08-04T15:24:12Z,medium,Failed WinRM from Admin Workstation,APP-API-02,ACME\admin.jlee,powershell.exe,Failed remote access after confirmed compromise,scope,Does not prove destination compromise
ATD-005-01206,2026-08-04T15:27:17Z,medium,PowerShell Review,FILE-01,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00564,2026-08-04T15:45:01Z,medium,Failed WinRM Review,APP-API-02,ACME\admin.rpatel,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00439,2026-08-04T15:46:26Z,medium,PowerShell Review,FILE-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00734,2026-08-04T15:53:06Z,medium,PowerShell Review,WEB-EDGE-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00093,2026-08-04T16:04:08Z,low,Failed WinRM Review,ADMIN-WS-07,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00749,2026-08-04T16:07:40Z,low,Failed WinRM Review,ADMIN-WS-07,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00215,2026-08-04T16:10:16Z,medium,New Service Review,ADMIN-WS-07,ACME\admin.rpatel,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00581,2026-08-04T16:16:22Z,low,PowerShell Review,FILE-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00717,2026-08-04T16:22:18Z,low,Rare Domain Review,WEB-EDGE-01,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00711,2026-08-04T16:29:19Z,low,Failed WinRM Review,WEB-EDGE-01,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00171,2026-08-04T16:40:34Z,medium,PowerShell Review,WEB-EDGE-01,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00317,2026-08-04T17:07:36Z,low,Rare Domain Review,APP-API-02,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01270,2026-08-04T17:16:47Z,low,PowerShell Review,WEB-EDGE-01,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00095,2026-08-04T17:17:03Z,medium,New Service Review,APP-API-02,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00999,2026-08-04T17:22:47Z,low,Rare Domain Review,VULN-SCAN-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01139,2026-08-04T17:24:24Z,medium,New Service Review,WEB-EDGE-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00134,2026-08-04T17:38:21Z,low,Failed WinRM Review,ADMIN-WS-11,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01026,2026-08-04T17:39:58Z,medium,Rare Domain Review,VULN-SCAN-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01317,2026-08-04T17:40:00Z,medium,Failed WinRM Review,DEPLOY-01,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00987,2026-08-04T17:47:05Z,low,Failed WinRM Review,APP-API-02,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01104,2026-08-04T18:03:00Z,low,Rare Domain Review,FILE-01,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00528,2026-08-04T18:03:32Z,medium,PowerShell Review,APP-API-02,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00397,2026-08-04T18:21:47Z,low,New Service Review,DEPLOY-01,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01063,2026-08-04T19:01:10Z,medium,Rare Domain Review,VULN-SCAN-01,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00630,2026-08-04T19:04:58Z,medium,Failed WinRM Review,APP-API-02,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00106,2026-08-04T19:05:51Z,medium,Failed WinRM Review,WEB-EDGE-01,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00126,2026-08-04T19:06:16Z,low,PowerShell Review,ADMIN-WS-07,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01157,2026-08-04T19:16:22Z,low,New Service Review,WEB-EDGE-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01186,2026-08-04T19:23:30Z,low,New Service Review,VULN-SCAN-01,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00939,2026-08-04T19:23:53Z,low,Failed WinRM Review,VULN-SCAN-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01119,2026-08-04T19:24:32Z,low,New Service Review,DEPLOY-01,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01100,2026-08-04T19:25:06Z,low,Failed WinRM Review,ADMIN-WS-07,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00442,2026-08-04T19:27:29Z,low,PowerShell Review,VULN-SCAN-01,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00599,2026-08-04T19:43:43Z,medium,Failed WinRM Review,DEPLOY-01,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00922,2026-08-04T19:56:46Z,low,PowerShell Review,ADMIN-WS-11,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00323,2026-08-04T19:58:11Z,low,PowerShell Review,APP-API-02,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01244,2026-08-04T19:59:28Z,medium,Failed WinRM Review,DEPLOY-01,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00755,2026-08-04T19:59:53Z,low,PowerShell Review,ADMIN-WS-07,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01011,2026-08-04T20:14:34Z,low,Failed WinRM Review,ADMIN-WS-11,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00946,2026-08-04T20:15:02Z,low,Failed WinRM Review,ADMIN-WS-11,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00836,2026-08-04T20:28:04Z,medium,Rare Domain Review,APP-API-02,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01444,2026-08-04T20:28:43Z,medium,New Service Review,ADMIN-WS-11,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01321,2026-08-04T20:30:17Z,medium,Rare Domain Review,APP-API-02,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00376,2026-08-04T20:38:11Z,low,Rare Domain Review,VULN-SCAN-01,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01045,2026-08-04T20:39:13Z,medium,PowerShell Review,FILE-01,ACME\admin.rpatel,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01285,2026-08-04T20:41:06Z,low,Rare Domain Review,ADMIN-WS-11,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00380,2026-08-04T20:42:50Z,low,Rare Domain Review,ADMIN-WS-11,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00132,2026-08-04T20:49:12Z,low,PowerShell Review,ADMIN-WS-07,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01272,2026-08-04T20:51:22Z,low,PowerShell Review,VULN-SCAN-01,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00416,2026-08-04T21:08:28Z,medium,Rare Domain Review,DEPLOY-01,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00984,2026-08-04T21:11:36Z,low,Failed WinRM Review,DEPLOY-01,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01422,2026-08-04T21:39:54Z,low,New Service Review,APP-API-02,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00637,2026-08-04T21:51:33Z,low,PowerShell Review,DEPLOY-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00329,2026-08-04T21:53:00Z,low,New Service Review,FILE-01,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00163,2026-08-04T21:54:19Z,low,PowerShell Review,APP-API-02,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01405,2026-08-04T22:00:42Z,medium,Rare Domain Review,DEPLOY-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00055,2026-08-04T22:02:12Z,medium,New Service Review,ADMIN-WS-11,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01015,2026-08-04T22:02:33Z,low,New Service Review,VULN-SCAN-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01183,2026-08-04T22:05:48Z,medium,Failed WinRM Review,APP-API-02,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00611,2026-08-04T22:16:00Z,low,Failed WinRM Review,WEB-EDGE-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00473,2026-08-04T22:19:10Z,low,New Service Review,ADMIN-WS-11,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00934,2026-08-04T22:24:00Z,low,Rare Domain Review,FILE-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00403,2026-08-04T22:26:37Z,medium,New Service Review,FILE-01,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01051,2026-08-04T22:35:23Z,low,Failed WinRM Review,ADMIN-WS-11,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00069,2026-08-04T22:37:37Z,low,New Service Review,APP-API-02,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00494,2026-08-04T22:46:41Z,medium,Failed WinRM Review,ADMIN-WS-11,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00915,2026-08-04T22:49:30Z,medium,Failed WinRM Review,ADMIN-WS-11,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00053,2026-08-04T22:54:01Z,medium,Rare Domain Review,APP-API-02,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00099,2026-08-04T23:01:33Z,medium,New Service Review,WEB-EDGE-01,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01324,2026-08-04T23:09:54Z,medium,PowerShell Review,VULN-SCAN-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01342,2026-08-04T23:10:35Z,low,New Service Review,DEPLOY-01,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01281,2026-08-04T23:12:23Z,low,Rare Domain Review,DEPLOY-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00484,2026-08-04T23:12:55Z,low,Failed WinRM Review,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00011,2026-08-04T23:26:13Z,low,Failed WinRM Review,APP-API-02,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00517,2026-08-04T23:37:26Z,medium,Failed WinRM Review,ADMIN-WS-11,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00668,2026-08-04T23:45:27Z,medium,Failed WinRM Review,FILE-01,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00767,2026-08-04T23:50:19Z,medium,Rare Domain Review,WEB-EDGE-01,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00602,2026-08-04T23:53:00Z,low,New Service Review,ADMIN-WS-07,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00808,2026-08-04T23:55:02Z,low,New Service Review,ADMIN-WS-07,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00197,2026-08-05T00:00:07Z,medium,PowerShell Review,VULN-SCAN-01,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00482,2026-08-05T00:09:40Z,medium,PowerShell Review,APP-API-02,ACME\admin.rpatel,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01442,2026-08-05T00:14:54Z,low,New Service Review,FILE-01,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00764,2026-08-05T00:21:48Z,low,Failed WinRM Review,DEPLOY-01,ACME\admin.rpatel,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00270,2026-08-05T00:24:21Z,medium,Rare Domain Review,ADMIN-WS-07,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00193,2026-08-05T00:25:38Z,medium,Rare Domain Review,FILE-01,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00089,2026-08-05T00:29:38Z,medium,Failed WinRM Review,APP-API-02,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00585,2026-08-05T00:42:34Z,low,Failed WinRM Review,WEB-EDGE-01,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01380,2026-08-05T00:54:03Z,medium,New Service Review,FILE-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00284,2026-08-05T01:01:47Z,low,New Service Review,DEPLOY-01,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01056,2026-08-05T01:09:27Z,medium,Rare Domain Review,VULN-SCAN-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00402,2026-08-05T01:26:18Z,medium,Failed WinRM Review,FILE-01,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01470,2026-08-05T01:28:48Z,medium,Rare Domain Review,WEB-EDGE-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00678,2026-08-05T01:33:21Z,medium,PowerShell Review,FILE-01,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00515,2026-08-05T01:41:00Z,low,Failed WinRM Review,ADMIN-WS-11,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00232,2026-08-05T01:55:38Z,medium,Rare Domain Review,ADMIN-WS-07,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01458,2026-08-05T01:58:55Z,low,Failed WinRM Review,WEB-EDGE-01,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00428,2026-08-05T02:05:33Z,low,New Service Review,WEB-EDGE-01,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01088,2026-08-05T02:12:30Z,medium,Failed WinRM Review,DEPLOY-01,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01227,2026-08-05T02:19:24Z,medium,Failed WinRM Review,DEPLOY-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00692,2026-08-05T02:22:46Z,low,Rare Domain Review,ADMIN-WS-07,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01475,2026-08-05T02:32:40Z,low,New Service Review,ADMIN-WS-07,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00387,2026-08-05T02:33:46Z,medium,New Service Review,ADMIN-WS-11,ACME\admin.rpatel,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00186,2026-08-05T02:34:29Z,low,PowerShell Review,VULN-SCAN-01,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00498,2026-08-05T02:37:15Z,low,PowerShell Review,WEB-EDGE-01,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00897,2026-08-05T02:39:35Z,medium,Rare Domain Review,VULN-SCAN-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01058,2026-08-05T02:44:34Z,medium,PowerShell Review,DEPLOY-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01247,2026-08-05T02:49:14Z,medium,PowerShell Review,ADMIN-WS-07,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01293,2026-08-05T02:58:00Z,medium,New Service Review,ADMIN-WS-11,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00863,2026-08-05T03:32:37Z,low,Rare Domain Review,DEPLOY-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00935,2026-08-05T03:41:14Z,medium,PowerShell Review,WEB-EDGE-01,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00703,2026-08-05T03:52:37Z,medium,PowerShell Review,WEB-EDGE-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00130,2026-08-05T03:58:50Z,medium,New Service Review,ADMIN-WS-11,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00159,2026-08-05T04:13:31Z,low,Rare Domain Review,WEB-EDGE-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00732,2026-08-05T04:16:36Z,low,Failed WinRM Review,DEPLOY-01,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01253,2026-08-05T04:21:15Z,low,PowerShell Review,VULN-SCAN-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01211,2026-08-05T04:21:37Z,medium,New Service Review,ADMIN-WS-07,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01391,2026-08-05T04:29:28Z,low,Failed WinRM Review,APP-API-02,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01271,2026-08-05T04:31:59Z,medium,New Service Review,VULN-SCAN-01,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00354,2026-08-05T04:39:26Z,low,Failed WinRM Review,VULN-SCAN-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01420,2026-08-05T04:50:20Z,low,Failed WinRM Review,WEB-EDGE-01,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00236,2026-08-05T04:54:16Z,medium,Rare Domain Review,ADMIN-WS-07,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01355,2026-08-05T04:54:50Z,medium,Rare Domain Review,ADMIN-WS-11,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00628,2026-08-05T04:56:16Z,medium,Rare Domain Review,ADMIN-WS-07,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00815,2026-08-05T05:03:33Z,medium,PowerShell Review,APP-API-02,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00529,2026-08-05T05:10:12Z,medium,Failed WinRM Review,ADMIN-WS-11,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01054,2026-08-05T05:17:55Z,low,Rare Domain Review,APP-API-02,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00028,2026-08-05T05:20:48Z,low,New Service Review,FILE-01,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00153,2026-08-05T05:22:02Z,low,PowerShell Review,VULN-SCAN-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01394,2026-08-05T05:31:38Z,medium,New Service Review,APP-API-02,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00516,2026-08-05T05:39:32Z,medium,Rare Domain Review,ADMIN-WS-07,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00642,2026-08-05T05:44:24Z,medium,Failed WinRM Review,DEPLOY-01,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01048,2026-08-05T05:54:02Z,low,Rare Domain Review,ADMIN-WS-11,ACME\svc_deploy,sc.exe,Contextual review event,context,Not every detection should escalate
