detection_id,_time,severity,title,host,user,expected_decision,note
ATD-006-00487,2026-08-11T18:00:15Z,low,PowerShell Review,APP-API-02,ACME\mrivera,context,background detection
ATD-006-00821,2026-08-11T18:04:01Z,medium,New File Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-00670,2026-08-11T18:05:39Z,medium,New File Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00276,2026-08-11T18:06:59Z,low,PowerShell Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-00906,2026-08-11T18:08:37Z,low,Failed Remote Auth Review,APP-API-02,ACME\svc_deploy,context,background detection
ATD-006-00973,2026-08-11T18:08:44Z,medium,PowerShell Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-01060,2026-08-11T18:10:42Z,medium,Failed Remote Auth Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-00757,2026-08-11T18:30:23Z,medium,PowerShell Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-01077,2026-08-11T18:33:22Z,low,Failed Remote Auth Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-01209,2026-08-11T18:35:13Z,low,Failed Remote Auth Review,APP-API-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01071,2026-08-11T18:42:57Z,low,Failed Remote Auth Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-01183,2026-08-11T18:44:49Z,low,New File Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00749,2026-08-11T18:45:41Z,low,Failed Remote Auth Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00968,2026-08-11T18:46:43Z,low,Failed Remote Auth Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-01231,2026-08-11T18:48:10Z,medium,New File Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-00974,2026-08-11T18:56:37Z,medium,Failed Remote Auth Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-00292,2026-08-11T18:58:51Z,low,New File Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-006-00026,2026-08-11T19:04:24Z,medium,New File Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-00184,2026-08-11T19:06:11Z,low,New File Review,APP-API-03,ACME\mrivera,context,background detection
ATD-006-00099,2026-08-11T19:12:11Z,medium,PowerShell Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-006-01187,2026-08-11T19:27:29Z,low,New File Review,APP-API-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00275,2026-08-11T19:37:26Z,medium,Failed Remote Auth Review,APP-API-03,ACME\jsmith,context,background detection
ATD-006-00220,2026-08-11T19:42:16Z,medium,New File Review,APP-API-03,ACME\svc_deploy,context,background detection
ATD-006-00251,2026-08-11T19:53:29Z,low,Failed Remote Auth Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-00549,2026-08-11T19:54:54Z,low,Failed Remote Auth Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-00339,2026-08-11T19:57:23Z,medium,Failed Remote Auth Review,FILE-02,ACME\svc_deploy,context,background detection
ATD-006-01427,2026-08-11T20:02:12Z,medium,Failed Remote Auth Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00226,2026-08-11T20:02:56Z,low,Failed Remote Auth Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-01164,2026-08-11T20:10:29Z,medium,Failed Remote Auth Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01374,2026-08-11T20:13:50Z,medium,PowerShell Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-00813,2026-08-11T20:22:30Z,low,Failed Remote Auth Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-00798,2026-08-11T20:24:17Z,medium,PowerShell Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-01453,2026-08-11T20:29:41Z,low,PowerShell Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-006-00070,2026-08-11T20:32:55Z,low,Failed Remote Auth Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-01462,2026-08-11T20:33:39Z,low,New File Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-01246,2026-08-11T20:45:17Z,low,PowerShell Review,APP-API-03,ACME\jsmith,context,background detection
ATD-006-00856,2026-08-11T20:48:04Z,medium,New File Review,DEPLOY-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00907,2026-08-11T20:53:13Z,low,PowerShell Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01036,2026-08-11T20:58:12Z,medium,Failed Remote Auth Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-00916,2026-08-11T21:04:08Z,medium,New File Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00529,2026-08-11T21:06:04Z,medium,New File Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-00243,2026-08-11T21:16:03Z,medium,New File Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-006-00310,2026-08-11T21:20:16Z,low,New File Review,JUMP-01,ACME\mrivera,context,background detection
ATD-006-00173,2026-08-11T21:26:57Z,low,PowerShell Review,APP-API-03,ACME\jsmith,context,background detection
ATD-006-00383,2026-08-11T21:37:39Z,low,New File Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-01323,2026-08-11T21:37:43Z,medium,New File Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-01085,2026-08-11T21:39:19Z,low,PowerShell Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-00089,2026-08-11T21:43:00Z,medium,PowerShell Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00711,2026-08-11T21:56:03Z,low,PowerShell Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00585,2026-08-11T21:58:20Z,low,New File Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00479,2026-08-11T22:13:26Z,low,Failed Remote Auth Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-00177,2026-08-11T22:16:59Z,low,PowerShell Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-006-00527,2026-08-11T22:27:20Z,low,Failed Remote Auth Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-00127,2026-08-11T22:39:02Z,low,PowerShell Review,JUMP-01,ACME\mrivera,context,background detection
ATD-006-01503,2026-08-11T22:54:53Z,medium,PowerShell Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-00568,2026-08-11T22:59:55Z,medium,Failed Remote Auth Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-00373,2026-08-11T23:00:56Z,low,New File Review,APP-API-03,ACME\svc_deploy,context,background detection
ATD-006-00410,2026-08-11T23:07:44Z,low,New File Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00633,2026-08-11T23:15:41Z,low,PowerShell Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-006-00142,2026-08-11T23:20:03Z,low,PowerShell Review,DEPLOY-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01112,2026-08-11T23:22:04Z,low,Failed Remote Auth Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01191,2026-08-11T23:23:43Z,medium,PowerShell Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00595,2026-08-11T23:24:21Z,medium,Failed Remote Auth Review,APP-API-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01096,2026-08-11T23:29:14Z,medium,Failed Remote Auth Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00961,2026-08-11T23:35:57Z,low,Failed Remote Auth Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-01416,2026-08-11T23:44:18Z,medium,Failed Remote Auth Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-00281,2026-08-11T23:44:31Z,medium,New File Review,JUMP-01,ACME\mrivera,context,background detection
ATD-006-00955,2026-08-11T23:48:24Z,low,PowerShell Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-00299,2026-08-11T23:49:37Z,low,PowerShell Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-01152,2026-08-11T23:51:26Z,low,Failed Remote Auth Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-01381,2026-08-12T00:04:59Z,medium,Failed Remote Auth Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-01335,2026-08-12T00:11:07Z,medium,New File Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-01280,2026-08-12T00:12:55Z,low,New File Review,DEPLOY-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01027,2026-08-12T00:21:10Z,low,PowerShell Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-006-00811,2026-08-12T00:24:57Z,medium,New File Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-01054,2026-08-12T00:25:03Z,low,PowerShell Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-00920,2026-08-12T00:30:05Z,medium,New File Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-00498,2026-08-12T00:30:41Z,medium,PowerShell Review,APP-API-02,ACME\svc_deploy,context,background detection
ATD-006-01030,2026-08-12T00:32:10Z,medium,Failed Remote Auth Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-00665,2026-08-12T00:33:34Z,low,New File Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00209,2026-08-12T00:48:34Z,low,New File Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-00446,2026-08-12T00:48:46Z,low,PowerShell Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-006-00834,2026-08-12T00:56:10Z,medium,New File Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-00583,2026-08-12T00:58:49Z,medium,PowerShell Review,APP-API-03,ACME\jsmith,context,background detection
ATD-006-00598,2026-08-12T01:02:02Z,medium,PowerShell Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-00200,2026-08-12T01:17:24Z,medium,Failed Remote Auth Review,APP-API-03,ACME\mrivera,context,background detection
ATD-006-00286,2026-08-12T01:23:38Z,low,Failed Remote Auth Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-006-00015,2026-08-12T01:25:06Z,medium,Failed Remote Auth Review,JUMP-01,ACME\mrivera,context,background detection
ATD-006-00301,2026-08-12T01:39:52Z,low,PowerShell Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01420,2026-08-12T01:42:31Z,low,New File Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-01336,2026-08-12T01:48:10Z,medium,PowerShell Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-00876,2026-08-12T01:49:21Z,low,PowerShell Review,APP-API-02,ACME\mrivera,context,background detection
ATD-006-00091,2026-08-12T01:58:02Z,medium,PowerShell Review,APP-API-02,ACME\svc_deploy,context,background detection
ATD-006-00729,2026-08-12T01:59:06Z,low,New File Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-00779,2026-08-12T02:02:07Z,low,Failed Remote Auth Review,APP-API-02,ACME\mrivera,context,background detection
ATD-006-00124,2026-08-12T02:08:19Z,medium,New File Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-01315,2026-08-12T02:09:07Z,medium,PowerShell Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00181,2026-08-12T02:15:14Z,low,PowerShell Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-01292,2026-08-12T02:18:07Z,medium,Failed Remote Auth Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00451,2026-08-12T02:27:23Z,medium,PowerShell Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-01337,2026-08-12T02:38:21Z,medium,Failed Remote Auth Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-01291,2026-08-12T02:40:13Z,medium,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-00542,2026-08-12T02:48:16Z,low,New File Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-006-00727,2026-08-12T02:56:23Z,medium,New File Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-006-00898,2026-08-12T02:57:55Z,low,Failed Remote Auth Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-006-00421,2026-08-12T03:03:56Z,low,PowerShell Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-01378,2026-08-12T03:10:01Z,low,New File Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-00055,2026-08-12T03:12:27Z,low,New File Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-01368,2026-08-12T03:25:28Z,low,New File Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-01134,2026-08-12T03:29:29Z,low,New File Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-01252,2026-08-12T03:34:03Z,low,Failed Remote Auth Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-01383,2026-08-12T03:38:30Z,medium,New File Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-00626,2026-08-12T03:42:22Z,low,New File Review,APP-API-03,ACME\mrivera,context,background detection
ATD-006-01444,2026-08-12T03:45:00Z,medium,PowerShell Review,APP-API-03,ACME\mrivera,context,background detection
ATD-006-01303,2026-08-12T03:54:52Z,medium,PowerShell Review,APP-API-02,ACME\mrivera,context,background detection
ATD-006-00617,2026-08-12T04:04:14Z,low,New File Review,APP-API-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00046,2026-08-12T04:05:08Z,medium,New File Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-01332,2026-08-12T04:06:42Z,medium,New File Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-00657,2026-08-12T04:08:03Z,low,New File Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-00904,2026-08-12T04:11:21Z,medium,Failed Remote Auth Review,APP-API-03,ACME\svc_deploy,context,background detection
ATD-006-01402,2026-08-12T04:24:20Z,low,Failed Remote Auth Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-01064,2026-08-12T04:30:24Z,low,Failed Remote Auth Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00247,2026-08-12T04:46:22Z,low,PowerShell Review,APP-API-03,ACME\svc_deploy,context,background detection
ATD-006-01301,2026-08-12T04:47:10Z,medium,Failed Remote Auth Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00156,2026-08-12T05:11:30Z,low,PowerShell Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-00996,2026-08-12T05:14:38Z,medium,PowerShell Review,JUMP-01,ACME\mrivera,context,background detection
ATD-006-01482,2026-08-12T05:18:07Z,medium,PowerShell Review,APP-API-03,ACME\mrivera,context,background detection
ATD-006-00939,2026-08-12T05:32:34Z,low,PowerShell Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00758,2026-08-12T05:36:39Z,low,Failed Remote Auth Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01093,2026-08-12T05:37:23Z,medium,Failed Remote Auth Review,DEPLOY-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00013,2026-08-12T05:48:54Z,low,New File Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-00476,2026-08-12T05:50:07Z,medium,New File Review,FILE-02,ACME\svc_deploy,context,background detection
ATD-006-00630,2026-08-12T06:14:39Z,medium,Failed Remote Auth Review,APP-API-03,ACME\svc_deploy,context,background detection
ATD-006-00513,2026-08-12T06:19:01Z,low,Failed Remote Auth Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-01300,2026-08-12T06:22:51Z,low,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-01038,2026-08-12T06:31:43Z,low,Failed Remote Auth Review,FILE-02,ACME\svc_deploy,context,background detection
ATD-006-01227,2026-08-12T06:36:27Z,medium,PowerShell Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-01455,2026-08-12T06:37:14Z,low,Failed Remote Auth Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00554,2026-08-12T06:47:21Z,medium,New File Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00860,2026-08-12T06:48:07Z,medium,New File Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-01288,2026-08-12T06:54:51Z,low,PowerShell Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-00965,2026-08-12T06:56:10Z,low,PowerShell Review,APP-API-03,ACME\svc_deploy,context,background detection
ATD-006-00681,2026-08-12T07:01:11Z,medium,PowerShell Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-01268,2026-08-12T07:05:23Z,low,Failed Remote Auth Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-00494,2026-08-12T07:11:16Z,low,PowerShell Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-01055,2026-08-12T07:20:39Z,medium,PowerShell Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00279,2026-08-12T07:31:22Z,medium,New File Review,FILE-02,ACME\svc_deploy,context,background detection
ATD-006-00256,2026-08-12T07:33:38Z,medium,Failed Remote Auth Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-00691,2026-08-12T07:35:27Z,low,PowerShell Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01233,2026-08-12T07:37:25Z,medium,New File Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00073,2026-08-12T07:37:47Z,low,New File Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-00858,2026-08-12T07:39:00Z,medium,New File Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-006-01066,2026-08-12T07:41:23Z,medium,PowerShell Review,FILE-02,ACME\svc_deploy,context,background detection
ATD-006-00162,2026-08-12T07:45:09Z,low,Failed Remote Auth Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01091,2026-08-12T07:50:35Z,low,Failed Remote Auth Review,APP-API-03,ACME\jsmith,context,background detection
ATD-006-01146,2026-08-12T07:57:00Z,medium,New File Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-00862,2026-08-12T08:00:15Z,medium,New File Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-01277,2026-08-12T08:00:45Z,medium,New File Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00486,2026-08-12T08:02:48Z,medium,Failed Remote Auth Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-00967,2026-08-12T08:27:02Z,low,PowerShell Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-00999,2026-08-12T08:29:15Z,low,New File Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-006-00021,2026-08-12T08:37:34Z,medium,New File Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-00794,2026-08-12T08:38:09Z,low,New File Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-00943,2026-08-12T08:58:58Z,medium,Failed Remote Auth Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-006-00956,2026-08-12T09:04:03Z,medium,Failed Remote Auth Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-01270,2026-08-12T09:05:54Z,medium,New File Review,DEPLOY-01,ACME\mrivera,context,background detection
ATD-006-00366,2026-08-12T09:05:58Z,medium,Failed Remote Auth Review,APP-API-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00132,2026-08-12T09:15:33Z,low,New File Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00248,2026-08-12T09:16:41Z,low,PowerShell Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-01473,2026-08-12T09:19:31Z,low,PowerShell Review,FILE-02,ACME\svc_deploy,context,background detection
ATD-006-00962,2026-08-12T09:21:05Z,medium,New File Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-00028,2026-08-12T09:23:40Z,medium,New File Review,APP-API-02,ACME\svc_deploy,context,background detection
ATD-006-00979,2026-08-12T09:31:09Z,medium,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-00232,2026-08-12T09:32:41Z,medium,Failed Remote Auth Review,APP-API-02,ACME\svc_backup,context,background detection
ATD-006-00160,2026-08-12T09:45:03Z,medium,New File Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-006-00829,2026-08-12T10:04:41Z,medium,New File Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01052,2026-08-12T10:07:10Z,low,New File Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-01316,2026-08-12T10:07:57Z,medium,Failed Remote Auth Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00484,2026-08-12T10:14:09Z,medium,New File Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-006-01136,2026-08-12T10:21:53Z,medium,Failed Remote Auth Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00150,2026-08-12T10:30:50Z,medium,New File Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00623,2026-08-12T10:33:20Z,medium,New File Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-00075,2026-08-12T10:43:01Z,medium,New File Review,APP-API-02,ACME\svc_deploy,context,background detection
ATD-006-01389,2026-08-12T10:47:41Z,medium,PowerShell Review,DEPLOY-01,ACME\svc_backup,context,background detection
